n_conf	val
0	1.3338808571506955
1	1.1418040552692719
2	1.3007380484770925
3	1.2285021911307292
4	1.050083723006533
5	1.297249968431398
6	1.134738711004851
7	1.1561045423389702
8	1.124206552264865
9	1.2182375087569048
10	1.1611017407136952
11	1.4398910517262267
12	1.1156316466838812
13	1.2373006414423808
14	1.2135053063299897
15	1.1734993235617615
16	1.2118655363994826
17	1.0804270728416672
18	1.2844593641648814
19	0.9869185247503623
20	1.3112438522788246
21	0.9937694986985803
22	1.2865437540483926
23	1.2305708169084364
24	1.2644589300718811
25	1.0873313419061792
26	1.2900010390292707
27	1.133319306949586
28	1.153894562228587
29	1.2124572614741163
30	1.2633918947802452
31	1.16473496715634
32	1.0852720357847525
33	1.4615552037623043
34	1.314362325074764
35	1.16346836352878
36	1.377521501674874
37	1.2556399792806088
38	1.4133816986175383
39	1.2278346679798169
40	1.2694151118368426
41	1.2951746174780552
42	1.2133945707277236
43	1.2846449495069598
44	1.1304884499195897
45	1.115068255868474
46	0.9632569693972408
47	1.1122554749108997
48	1.2145823563862497
49	1.18955974637988
50	1.3052050821835488
51	1.195434615469435
52	1.328301154447081
53	1.241760020100818
54	1.2365581833559365
55	1.2723334428498578
56	1.1271525297756282
57	1.137362397477939
58	1.1644001393859638
59	1.1571724020709588
60	1.2041256251620522
61	1.470662444107468
62	1.1506780632394114
63	1.1655629199402582
64	1.1064065487032444
65	1.3402363202579113
66	1.1574692425626463
67	1.3544718323305278
68	1.1905902265096016
69	1.1344816805121294
70	1.4144812205226043
71	1.3558782247617929
72	1.1452230424174115
73	1.2761844943599905
74	1.2276562439966336
75	1.2515633452530248
76	1.3775589982182888
77	1.3474905687530443
78	1.381840413627105
79	1.2064366172663705
80	1.2391921287535537
81	1.2371952941448536
82	1.2385285675265298
83	1.3485074129327996
84	1.1869665121636208
85	1.3165935828038657
86	1.308213065511668
87	1.160452101927885
88	1.2425794484370276
89	1.1904405691058608
90	1.1759187731908112
91	1.1110043257472686
92	1.1689415599228763
93	1.0578064551714894
94	1.0744473857456671
95	1.2312958228521516
96	1.258656255710424
97	1.0033528129294806
98	1.1006126055469865
99	1.468956553186361
100	1.297851709423929
101	1.2900725550677756
102	1.0550540863567075
103	1.1471949980621368
104	1.436702002988608
105	1.277688287556836
106	1.2318405178385505
107	1.126087656249985
108	1.3471924331736798
109	1.0485091809620974
110	1.0319950048413544
111	1.2891017857455818
112	1.2493356886937417
113	1.2910567286139072
114	1.312278462263344
115	1.2645359713010111
116	1.118754695919467
117	1.1781105657232578
118	1.0564221192651395
119	1.0070950643895658
120	1.3081693014617035
121	1.2326971479397546
122	1.0353994403344424
123	1.2095317217147672
124	1.2811337516259642
125	1.2362357199526752
126	1.1584027236473726
127	1.303267631783334
128	1.1346753183233518
129	1.3281111284127503
130	1.2791359861841842
131	1.037566682273102
132	1.2304862359022226
133	1.2966458442800946
134	1.334152307191086
135	1.1099996111651227
136	1.096896501080228
137	1.1078850323699445
138	1.2602012071182895
139	1.1993660979974972
140	1.2556484893498125
141	1.208228116650223
142	1.257772541717245
143	1.0410976982897673
144	1.1998618700432644
145	0.8814060821328931
146	1.325862045576867
147	1.2625911845291333
148	1.2420690951075102
149	0.9117822750902183
150	1.054704580740046
151	1.23878603342285
152	1.2186756342818263
153	1.1538107885789435
154	1.0752930075293063
155	1.12908061650927
156	1.1986739319523525
157	1.2299582133366425
158	1.206558622301802
159	1.087187644915177
160	1.0005976464900868
161	1.2590628678302576
162	1.395934553298714
163	1.3315901555903744
164	1.2449966096858607
165	1.2404897525933214
166	1.3317202132610115
167	1.3332711675683184
168	1.203762368198995
169	1.045056165189124
170	1.1590235902459614
171	1.0592362993423754
172	1.2419338531355888
173	1.0519941473859367
174	1.2467984493244835
175	1.067068687634258
176	1.1768589682269817
177	1.2051029534724718
178	1.224931598881089
179	1.20527492112031
180	1.1186568021161931
181	1.2575341066878074
182	1.0498628412190194
183	1.2757579184368373
184	1.3909339546367816
185	1.1367188232188692
186	1.1857029832331505
187	1.0737175900907239
188	1.1954143268389659
189	1.091305075011553
190	1.2711091305077447
191	1.4669675073817674
192	1.298742984443784
193	1.2307767639680363
194	1.1469505425660929
195	1.2190036479394348
196	1.3002399790348864
197	1.2146389299274398
198	1.2630929104140844
